Date,Symbol,Adj Close,Close,High,Low,Open,Volume
12/27/2019,FFIV,139.1699982,139.1699982,139.9400024,138.3300018,139.1799927,354900
12/30/2019,FFIV,139.2899933,139.2899933,140.3099976,138.2799988,139.0399933,266300
12/31/2019,FFIV,139.6499939,139.6499939,140.5500031,138.75,138.8699951,333300
1/2/2020,FFIV,140.7599945,140.7599945,141.3099976,139.7400055,140.4199982,592200
1/3/2020,FFIV,140,140,140.9499969,138.5500031,139.8099976,420600
1/6/2020,FFIV,138.25,138.25,139.6799927,137.5899963,138.8000031,568800
1/7/2020,FFIV,136.9900055,136.9900055,138.0800018,136.6399994,137.6600037,463600
1/8/2020,FFIV,136.4400024,136.4400024,137.8099976,135.9799957,137.5399933,571400
1/9/2020,FFIV,135.9900055,135.9900055,137.3600006,134.6499939,137.3600006,542700
1/10/2020,FFIV,135.1499939,135.1499939,136.7899933,134.8300018,136.5099945,357200
1/13/2020,FFIV,136.1999969,136.1999969,136.8399963,135.2700043,135.4400024,477400
1/14/2020,FFIV,136.1000061,136.1000061,137.1199951,134.3999939,136.1499939,659000
1/15/2020,FFIV,136.1199951,136.1199951,137.3500061,135.4199982,135.8899994,373400
1/16/2020,FFIV,138.6799927,138.6799927,138.7400055,136.9299927,137.0299988,447200
1/17/2020,FFIV,137,137,139.5,136.75,139.2400055,538200
1/21/2020,FFIV,135.0399933,135.0399933,136.8800049,134.6900024,136.4900055,784800
1/22/2020,FFIV,132.2799988,132.2799988,136.0899963,132.2700043,135.5700073,806300
1/23/2020,FFIV,133.9600067,133.9600067,134.1699982,132,132.2400055,1126100
1/24/2020,FFIV,135.8200073,135.8200073,136.0800018,134.1000061,134.4100037,678700
1/27/2020,FFIV,132.6999969,132.6999969,134.0899963,131.0899963,133.8399963,1663600
1/28/2020,FFIV,126,126,131.3099976,124.5299988,125.0400009,2594700
1/29/2020,FFIV,125.6600037,125.6600037,128.6300049,125.2200012,126.4800034,1033200
1/30/2020,FFIV,125.1200027,125.1200027,126.1900024,123.1100006,124.4300003,732600
1/31/2020,FFIV,122.1200027,122.1200027,125.3600006,121.8799973,125.0800018,890100
2/3/2020,FFIV,121.7699966,121.7699966,123.0100021,121.1900024,121.1900024,822200
2/4/2020,FFIV,123.3000031,123.3000031,125.0699997,122.6100006,123.3499985,707900
2/5/2020,FFIV,125.2300034,125.2300034,126,123.8499985,124.8799973,707400
2/6/2020,FFIV,123.5999985,123.5999985,125.8199997,123.2900009,125.8199997,679900
2/7/2020,FFIV,123.5800018,123.5800018,123.6900024,121.5400009,123.3600006,602500
2/10/2020,FFIV,126.9100037,126.9100037,126.9400024,123.5199966,125.5,814700
2/11/2020,FFIV,126.0899963,126.0899963,127.8399963,125.4100037,127.0299988,745100
2/12/2020,FFIV,126.7099991,126.7099991,128.8800049,125.9199982,126.7200012,517900
2/13/2020,FFIV,128.2200012,128.2200012,128.5,125.0500031,125.4800034,536000
2/14/2020,FFIV,127.5100021,127.5100021,127.9599991,126.6200027,127.75,453800
2/18/2020,FFIV,127.6999969,127.6999969,128.3099976,126.8899994,127.3199997,645500
2/19/2020,FFIV,129.75,129.75,130.4100037,127.6600037,127.9300003,592700
2/20/2020,FFIV,132.8500061,132.8500061,133.0800018,129.2700043,129.5,653100
2/21/2020,FFIV,133.3600006,133.3600006,133.4299927,130.6799927,132.1600037,601800
2/24/2020,FFIV,130.2599945,130.2599945,131.6300049,129,129.5200043,856800
2/25/2020,FFIV,126.7900009,126.7900009,131.2400055,125.0199966,131.2400055,941800
2/26/2020,FFIV,126.4499969,126.4499969,129.3800049,126.0599976,127.9700012,609300
2/27/2020,FFIV,122.8000031,122.8000031,128.0500031,122,124.3300018,910400
2/28/2020,FFIV,119.9499969,119.9499969,122.9700012,117.8199997,120.5199966,1175400
3/2/2020,FFIV,120.0400009,120.0400009,121.4700012,115.1500015,119.8899994,1189200
3/3/2020,FFIV,116.1299973,116.1299973,121.8000031,114.25,119.5999985,947000
3/4/2020,FFIV,122.4000015,122.4000015,122.5599976,115.0899963,118.1200027,1252900
3/5/2020,FFIV,118.8000031,118.8000031,121.5800018,117.2399979,119.7699966,959400
3/6/2020,FFIV,119.6399994,119.6399994,120.5,115.4499969,115.7799988,1134400
3/9/2020,FFIV,111.6900024,111.6900024,119.6399994,110.3300018,114,1284600
3/10/2020,FFIV,117.8799973,117.8799973,118.0400009,111.7799988,114.5800018,1108700
3/11/2020,FFIV,107.8000031,107.8000031,115.5899963,107.1800003,114.7300034,1027700
3/12/2020,FFIV,98.33000183,98.33000183,104.5599976,96.61000061,101.0899963,1193200
3/13/2020,FFIV,105.6999969,105.6999969,105.7799988,98.19000244,103.2200012,1397900
3/16/2020,FFIV,95.66000366,95.66000366,100.0599976,94.23999786,95.16999817,907200
3/17/2020,FFIV,93.12999725,93.12999725,97.58000183,87.16000366,97.33999634,1267400
3/18/2020,FFIV,90.55000305,90.55000305,93.83000183,79.77999878,88.75,1137900
3/19/2020,FFIV,98.33000183,98.33000183,101.2399979,86.51000214,89.05999756,1127800
3/20/2020,FFIV,100.1399994,100.1399994,104.9899979,96.68000031,99.48999786,1193600
3/23/2020,FFIV,98.65000153,98.65000153,105.3600006,97.62999725,100.7699966,1101100
3/24/2020,FFIV,102.7099991,102.7099991,104.3799973,96.76999664,101.9100037,1313400
3/25/2020,FFIV,105.2900009,105.2900009,108.3000031,99.79000092,103.4300003,1121700
3/26/2020,FFIV,114.0500031,114.0500031,115.3499985,104.0199966,105.1800003,1043700
3/27/2020,FFIV,110.8000031,110.8000031,113.9100037,105.5999985,109.9400024,926400
